longitude	latitude
-1.329408	51.791332
-1.329257	51.791147
-1.329079	51.790995
-1.328915	51.790837
-1.328793	51.790658
-1.328672	51.79048
-1.328579	51.790294
-1.328487	51.79011
-1.328366	51.789924
-1.328201	51.789754
-1.328008	51.789583
-1.327772	51.789438
-1.32755	51.789293
-1.327314	51.789161
-1.327107	51.789041
-1.326915	51.788907
-1.326737	51.788767
-1.326587	51.78862
-1.326408	51.788468
-1.326259	51.788315
-1.326123	51.788149
-1.326002	51.787984
-1.325896	51.787812
-1.32576	51.787634
-1.325596	51.787474
-1.325403	51.787329
-1.32521	51.787184
-1.325004	51.787051
-1.324782	51.786919
-1.324561	51.786774
-1.324382	51.786629
-1.324233	51.786476
-1.324069	51.786343
-1.323877	51.786216
-1.323685	51.786089
-1.323493	51.785976
-1.32333	51.785874
-1.323167	51.785748
-1.322989	51.78559
-1.322782	51.785452
-1.322546	51.785321
-1.322311	51.78519
-1.322033	51.785091
-1.321755	51.785
-1.321463	51.784926
-1.321214	51.784841
-1.320965	51.784748
-1.320773	51.784617
-1.320596	51.784486
-1.320418	51.784347
-1.320226	51.784222
-1.320034	51.784098
-1.319828	51.783961
-1.319665	51.783817
-1.319502	51.783674
-1.319295	51.783544
-1.319075	51.783427
-1.31884	51.783316
-1.318606	51.783219
-1.318372	51.783128
-1.31818	51.783011
-1.318003	51.782881
-1.317826	51.782764
-1.31765	51.782654
-1.317473	51.782555
-1.317327	51.782469
-1.317166	51.782404
-1.317035	51.782363
-1.316933	51.782348
-1.316846	51.782338
-1.316789	51.782327
-1.316759	51.782304
-1.316686	51.782268
-1.316628	51.782245
-1.316556	51.782248
-1.316514	51.782287
-1.316516	51.782352
-1.316576	51.782441
-1.316636	51.782518
-1.316725	51.782556
-1.316799	51.7826
-1.316872	51.782639
-1.316888	51.782671
-1.316947	51.782703
-1.316978	51.782772
-1.317024	51.782869
-1.31707	51.782951
-1.317144	51.783008
-1.317203	51.783045
-1.317261	51.783057
-1.31729	51.783043
-1.31729	51.783043
-1.317304	51.783035
-1.317303	51.783028
-1.317303	51.783016
